order_id,customer_id,order_date,order_amount,status
0a97e923-0554-4ea3-9222-1c2da8346775,CUST0229,2025-10-09T12:48:12.839Z,2997.28,Cancelled
8a8436ad-761e-4baa-826b-7fe42738d2bb,CUST0698,2026-02-20T09:16:58.341Z,2812.70,Pending
c95d75eb-dd8f-4cad-9b64-ea9be45beaa8,CUST0886,2025-12-06T04:30:37.845Z,4324.96,Delivered
958a3d31-0a86-4c4d-9720-abd36fe4633f,CUST0317,2026-05-17T05:43:38.235Z,1486.17,Pending
1d656e32-734c-49b1-a6f9-3d239a385092,CUST0025,2025-08-30T19:14:21.494Z,2328.11,Delivered
397b5e01-8d3e-4a8a-901e-4a745cbdcd4c,CUST0489,2026-01-25T00:59:27.407Z,3283.69,Cancelled
1d5f5ab3-90e2-40de-9f23-a595cf03e8a1,CUST0690,2025-09-19T03:14:39.342Z,1891.40,Delivered
345f2c48-214b-4fee-ae48-c5e614442075,CUST0347,2025-09-27T01:20:31.149Z,4918.77,Cancelled
c53b87d1-928f-4973-bab3-31c6c540e2b0,CUST0888,2025-07-06T16:21:36.449Z,1971.13,Cancelled
9be7853d-e264-4348-84e6-363604997d9c,CUST0102,2025-12-05T08:34:09.942Z,4058.11,Processing
9de912e2-5792-4226-bbd8-189d7b8d6c64,CUST0022,2026-05-31T04:20:20.307Z,994.05,Pending
a8e09503-dace-4cc5-a389-7deb29d1e390,CUST0937,2026-01-12T13:15:36.497Z,3698.33,Delivered
874a582b-01da-441f-873f-268ed3eda475,CUST0994,2025-09-12T19:53:57.396Z,2220.53,Delivered
45306b51-49f3-4769-bf0d-c8a1edf5fa93,CUST0219,2025-10-11T16:52:32.337Z,2575.40,Cancelled
b5af065f-01d3-4a32-bd77-0db7c512a9d2,CUST0652,2026-03-25T12:40:58.706Z,2064.18,Delivered
c6d72719-ae27-4475-ad78-21218efa56d9,CUST0495,2026-02-19T07:51:51.007Z,3813.92,Pending
784368f3-bc6c-4f94-826e-d431d2d972f6,CUST0753,2025-12-23T10:05:19.392Z,2548.03,Cancelled
b9735444-e622-4d7c-9159-a63a16608916,CUST0186,2025-08-03T13:57:17.252Z,4679.36,Processing
e24c6f6d-9a77-4625-aaf3-f3e48d228e80,CUST0295,2025-11-28T09:25:37.380Z,3185.14,Pending
55cab8bb-50c5-4f08-8557-b05facc81071,CUST0291,2026-05-01T17:27:10.935Z,491.38,Processing
431d7c0e-7a3f-4ada-9eed-c190d8781de7,CUST0716,2026-05-21T08:36:36.901Z,4024.43,Processing
5bca5447-6817-47ff-841b-feb3322e6f12,CUST0315,2025-10-30T09:38:25.438Z,1250.50,Delivered
a0949eff-4d06-4c56-ac17-14d40045d813,CUST0149,2025-09-24T11:58:04.211Z,2377.67,Cancelled
36060a8b-1623-403c-8af5-c8990cb1355f,CUST0363,2026-04-21T09:51:52.522Z,2632.62,Cancelled
